RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-2643274	-3650943	64.666667	-24	64:40:00N	24:00:00W	27WUM5681174695	NQ27-13	H	BNK		IC	00				N	isl			DRITVIKURGRUNN	Dritvíkurgrunn	Dritvikurgrunn	DRITVIKURGRUNN	Dritvíkurgrunn	Dritvikurgrunn		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2645720	-3653647	65.833333	-19	65:50:00N	19:00:00W	27WWP9135302788	NQ27-11	T	RDGE		IC	00				N				HAKAMBAR	Hákambar	Hakambar	HAKAMBAR	Hákambar	Hakambar		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2654385	-3663249	66.333333	-19.166667	66:20:00N	19:10:00W	27WWP8211258268	NQ27-06	H	BNK		IC	00				N				TANGAR	Tangar	Tangar	TANGAR	Tangar	Tangar		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2650750	-3659161	63.7	-15.25	63:42:00N	15:15:00W	28VDR8764163609	NP27-03	H	BNK		IC	00				N				MYRAGRUNN	Mýragrunn	Myragrunn	MYRAGRUNN	Mýragrunn	Myragrunn		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2648425	-3656642	65.916667	-15.366667	65:55:00N	15:22:00W	28WDU8330410670	NQ27-12	L	GRAZ		IC	00				N				KILAR	Kílar	Kilar	KILAR	Kílar	Kilar		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2655745	-3664736	65.75	-18.8	65:45:00N	18:48:00W	27WXN0081193810	NQ27-11	T	MT		IC	00				N				VESTURARDALSFJALL	Vesturárdalsfjall	Vesturardalsfjall	VESTURARDALSFJALL	Vesturárdalsfjall	Vesturardalsfjall		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2647445	-3655543	66.333333	-20.666667	66:20:00N	20:40:00W	27WWP1493157105	NQ27-06	U	VALU		IC	00				N	isl			HUNAFLOAALL	Húnaflóaáll	Hunafloaall	HUNAFLOAALL	Húnaflóaáll	Hunafloaall		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2647445	-3655544	66.333333	-20.666667	66:20:00N	20:40:00W	27WWP1493157105	NQ27-06	U	VALU		IC	00				V				HUNAFLOADJUP	Húnafloa Djúp	Hunafloa Djup	HUNAFLOADJUP	Húnafloa Djúp	Hunafloa Djup		1994-01-14	1,2,3,4,5				1993-09-01		
1	-2645185	-3653059	63.966667	-21.766667	63:58:00N	21:46:00W	27VVL6245793525	NP27-01	T	PASS		IC	00				N	isl			GRINDARSKORDH	Grindarskörð	Grindarskordh	GRINDARSKORDH	Grindarskörð	Grindarskordh		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2651068	-3659536	65.333333	-22.666667	65:20:00N	22:40:00W	27WVN2239346631	NQ27-09	H	BAY		IC	00				V				NORDRFLOI	Nordr-Flói	Nordr-Floi	NORDRFLOI	Nordr-Flói	Nordr-Floi		1994-01-14	1,2,3,4,5				1993-09-01		
1	-2651068	-3659516	65.333333	-22.666667	65:20:00N	22:40:00W	27WVN2239346631	NQ27-09	H	BAY		IC	00				N	isl			NORDHURFLOI	Norðurflói	Nordhurfloi	NORDHURFLOI	Norðurflói	Nordhurfloi		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2651068	-3659538	65.333333	-22.666667	65:20:00N	22:40:00W	27WVN2239346631	NQ27-09	H	BAY		IC	00				V				NORDURFLOI	Nordur Flói	Nordur Floi	NORDURFLOI	Nordur Flói	Nordur Floi		1994-01-14	1,2,3,4,5				1993-09-01		
1	-2643532	-3651234	63.7	-24.25	63:42:00N	24:15:00W	26VPR3591766510	NP25-04	H	BNK		IC	00				N	isl			ELDEYJARBANKI	Eldeyjarbanki	Eldeyjarbanki	ELDEYJARBANKI	Eldeyjarbanki	Eldeyjarbanki		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2642297	-3649863	64.45	-21	64:27:00N	21:00:00W	27WWM0000047160	NQ27-14	V	HTH		IC	00				N	isl			BLASKOGAHEIDHI	Bláskógaheiði	Blaskogaheidhi	BLASKOGAHEIDHI	Bláskógaheiði	Blaskogaheidhi		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2654429	-3663294	66.383333	-22.05	66:23:00N	22:03:00W	27WVP5306263033	NQ27-05	H	BNK		IC	00				N	isl			THARALATURSGRUNN	Þaralátursgrunn	Tharalatursgrunn	THARALATURSGRUNN	Þaralátursgrunn	Tharalatursgrunn		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2651772	-3660339	63.5	-22.85	63:30:00N	22:51:00W	27VVL0790942630	NP27-01	H	BNK		IC	00				N	isl			REYKJANESGRUNN	Reykjanesgrunn	Reykjanesgrunn	REYKJANESGRUNN	Reykjanesgrunn	Reykjanesgrunn		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2641758	-3649254	66.433333	-16.883333	66:26:00N	16:53:00W	28WDU1598569478	NQ27-07	U	VALU		IC	00				N				AXARFJARDHARDJUP	Axarfjarðardjúp	Axarfjardhardjup	AXARFJARDHARDJUP	Axarfjarðardjúp	Axarfjardhardjup		1994-01-14	1,2,3,4,5	1			1993-09-01		
1	-2642872	-3650505	64.583333	-22.866667	64:35:00N	22:52:00W	27WVM1061563334	NQ27-13	H	BNK		IC	00				V				BUDHABANKI	Búða Banki	Budha Banki	BUDHABANKI	Búða Banki	Budha Banki		1994-01-14	1,2,3,4,5				1993-09-01		
